price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,PriceCategory
62050,0,1,4,0,15.6,4.4,2547.0,319.0,2
52990,10,11,1,0,15.6,4.3,26.0,6.0,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
44290,1,1,1,0,15.6,3.1,15.0,3.0,1
57990,9,1,1,0,15.6,4.3,3065.0,354.0,2
65990,13,0,1,0,15.6,4.5,715.0,112.0,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
58490,9,0,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
56990,9,1,0,0,14.0,4.5,18.0,1.0,2
41190,8,1,1,0,15.6,4.3,78.0,3.0,1
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
57990,9,1,1,0,15.6,3.9,30.0,2.0,2
85990,15,1,1,0,15.6,4.3,61.0,7.0,2
55990,0,1,0,0,15.6,4.3,2648.0,228.0,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
44990,1,6,1,2,14.0,4.4,144.0,13.0,1
32000,16,1,1,2,15.6,4.1,329.0,32.0,1
89990,9,3,0,0,14.0,4.0,24.0,5.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
88900,15,0,1,3,15.6,4.0,24.0,2.0,2
41990,1,1,1,0,15.6,4.3,348.0,47.0,1
89990,13,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
44490,1,1,4,0,14.0,4.3,222.0,28.0,1
47990,11,1,1,0,15.6,4.6,8.0,0.0,2
72990,15,0,0,0,15.6,4.2,6.0,0.0,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
44990,1,6,1,2,14.0,4.4,144.0,13.0,1
65990,2,1,1,3,15.6,4.5,121.0,7.0,2
59990,0,1,4,0,14.0,4.4,7200.0,967.0,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
56990,11,0,1,0,15.6,4.5,758.0,80.0,2
34690,1,1,5,0,14.0,4.0,66.0,2.0,1
213894,25,14,3,3,14.2,4.8,119.0,14.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
35990,3,1,1,0,15.6,4.1,193.0,17.0,1
50499,11,0,1,0,14.0,4.2,225.0,18.0,2
170990,15,4,1,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
40990,0,1,1,0,15.6,4.0,168.0,8.0,1
78190,9,4,1,0,13.3,4.5,8.0,0.0,2
43490,7,1,1,0,15.6,4.4,9.0,1.0,1
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
50499,11,0,1,0,14.0,4.2,225.0,18.0,2
49990,0,1,1,0,15.6,4.2,157.0,16.0,2
199900,26,14,3,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
34690,1,1,5,0,14.0,4.0,66.0,2.0,1
99990,13,4,1,0,15.6,5.0,3.0,0.0,2
36990,17,1,1,2,14.0,3.8,5.0,1.0,1
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
224990,13,9,1,4,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
56990,11,0,1,0,15.6,4.5,758.0,80.0,2
121990,18,7,3,2,13.3,4.7,22.0,1.0,2
87990,13,1,1,0,15.6,4.5,1224.0,158.0,2
42900,17,1,1,0,15.6,4.2,673.0,76.0,1
88490,13,0,1,0,15.6,5.0,7.0,1.0,2
46990,12,1,1,0,14.0,4.2,12.0,2.0,2
89990,9,3,1,0,15.6,4.4,80.0,12.0,2
140990,15,0,1,3,15.6,4.0,5.0,0.0,2
106490,5,0,3,2,13.3,4.7,719.0,83.0,2
25990,6,10,7,2,14.0,4.2,24.0,4.0,0
89990,9,3,1,0,15.6,4.4,80.0,12.0,2
89990,9,3,1,0,15.6,4.4,80.0,12.0,2
140990,15,0,1,3,15.6,4.0,5.0,0.0,2
106490,5,0,3,2,13.3,4.7,719.0,83.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
79990,9,12,1,0,15.6,4.1,35.0,5.0,2
89990,15,15,0,0,13.3,4.284883720930233,718.0915697674419,83.89825581395348,2
72990,0,0,1,0,15.6,4.1,187.0,16.0,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
63550,11,0,1,0,14.0,4.4,218.0,19.0,2
76519,9,1,1,0,14.0,4.5,4.0,1.0,2
34990,8,1,0,0,15.6,4.4,405.0,48.0,1
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
38029,8,1,1,2,15.6,4.2,435.0,56.0,1
104990,5,1,3,0,13.3,4.7,8865.0,795.0,2
25990,6,10,7,0,14.0,4.2,24.0,4.0,0
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
23990,27,2,4,6,15.6,3.7,3191.0,410.0,0
31990,1,1,1,2,15.6,4.4,385.0,34.0,1
49890,0,0,1,0,15.6,4.2,17.0,3.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
74990,9,1,1,0,14.0,4.2,10.0,1.0,2
60290,0,1,1,0,15.6,4.3,43.0,4.0,2
126990,5,0,3,0,13.3,4.7,719.0,83.0,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
60990,2,1,1,0,15.6,4.5,5145.0,564.0,2
155490,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
64990,0,1,1,1,15.6,4.4,395.0,43.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
41490,7,1,1,0,14.0,4.4,43.0,3.0,1
77990,9,4,0,0,15.6,4.5,97.0,10.0,2
94500,15,4,1,0,15.6,4.4,41.0,6.0,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
154990,23,0,8,3,15.6,4.6,265.0,56.0,2
168990,15,4,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
63890,9,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
74990,9,0,1,0,15.6,4.0,90.0,11.0,2
65990,11,1,1,3,15.6,4.5,258.0,29.0,2
23990,27,2,4,6,15.6,3.7,3191.0,410.0,0
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
114990,5,1,3,2,13.3,4.7,784.0,87.0,2
63990,11,0,0,0,15.6,4.5,313.0,31.0,2
80990,9,0,1,0,15.6,4.6,21.0,3.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
97990,15,0,1,3,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
39490,1,1,1,2,15.6,4.4,80.0,11.0,1
281990,19,9,1,3,15.6,5.0,4.0,0.0,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
31561,3,2,0,2,14.0,3.9,13.0,0.0,1
48990,2,0,1,0,14.0,3.7,13.0,3.0,2
36990,1,1,0,2,15.6,4.284883720930233,718.0915697674419,83.89825581395348,1
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
66190,9,1,1,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
54990,17,1,4,6,15.6,4.2,15492.0,2054.0,2
243990,25,14,3,3,16.2,4.8,119.0,14.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
41890,8,1,1,0,15.6,4.2,26.0,2.0,1
104990,10,11,1,0,13.3,4.284883720930233,718.0915697674419,83.89825581395348,2
42990,1,1,1,2,15.6,4.4,1443.0,248.0,1
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
104990,15,0,1,0,15.6,4.6,14.0,1.0,2
86490,28,0,4,0,15.6,4.5,148.0,19.0,2
129990,29,0,1,3,15.6,4.8,41.0,8.0,2
52890,0,1,0,0,15.6,3.8,5.0,1.0,2
71990,13,1,1,0,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
191990,23,9,1,3,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
146990,13,0,1,3,15.6,5.0,6.0,0.0,2
109990,15,0,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
77990,11,1,1,0,16.1,4.8,4.0,0.0,2
31490,8,2,4,6,15.6,3.6,84.0,16.0,1
39990,11,1,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,1
61500,11,6,4,0,14.0,4.5,29.0,6.0,2
57990,9,1,0,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
131990,18,14,3,2,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
90390,30,0,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
228928,19,9,1,3,15.6,4.6,10.0,0.0,2
345390,31,16,4,3,15.6,4.6,10.0,3.0,2
62990,2,1,4,0,14.0,3.8,17.0,3.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
174990,23,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
61690,9,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
79990,9,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
75990,11,0,0,5,15.6,4.3,222.0,25.0,2
129989,13,0,1,3,16.0,4.7,32.0,5.0,2
139990,18,7,3,0,13.6,5.0,8.0,2.0,2
68990,0,0,1,0,14.0,4.4,288.0,23.0,2
177990,23,0,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
62490,9,0,1,0,15.6,4.1,87.0,11.0,2
109990,5,1,3,0,13.3,4.6,1149.0,126.0,2
61990,9,6,1,2,15.6,4.6,82.0,13.0,2
60990,0,1,1,1,15.6,4.1,31.0,2.0,2
70990,13,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
110000,13,0,1,3,16.1,3.8,5.0,1.0,2
76990,13,1,4,0,15.6,4.5,193.0,18.0,2
33990,1,6,1,0,15.6,4.2,197.0,43.0,1
31990,1,1,1,2,15.6,4.4,385.0,34.0,1
299999,19,9,1,4,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
109990,5,1,3,0,13.3,4.7,8865.0,795.0,2
129990,23,0,4,3,15.6,4.4,193.0,39.0,2
51532,9,3,0,0,15.6,4.0,32.0,14.0,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
144100,10,0,4,3,15.6,4.4,136.0,23.0,2
63500,9,1,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
20990,32,5,1,7,14.0,4.2,884.0,151.0,0
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
124990,9,3,0,0,14.5,4.284883720930233,718.0915697674419,83.89825581395348,2
72990,9,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
189990,13,9,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
65999,0,1,1,0,15.6,4.6,13.0,1.0,2
28500,27,1,1,2,14.1,4.284883720930233,718.0915697674419,83.89825581395348,0
129990,10,0,4,3,15.6,4.6,113.0,27.0,2
19990,6,10,2,8,15.6,3.7,288.0,26.0,0
67990,9,1,1,0,15.6,4.3,496.0,41.0,2
64590,11,1,4,0,17.3,4.5,533.0,93.0,2
115300,13,0,4,1,15.6,4.4,497.0,69.0,2
61990,9,0,1,0,15.6,4.3,3065.0,354.0,2
26490,16,2,1,2,14.0,4.2,19.0,2.0,0
114990,10,0,4,3,15.6,4.5,153.0,25.0,2
114990,15,4,1,3,17.3,3.9,12.0,0.0,2
59990,11,1,1,0,16.0,4.7,7.0,2.0,2
38500,1,1,1,0,15.6,4.3,453.0,38.0,1
63590,11,0,1,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
199999,15,9,1,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
300490,15,9,1,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
52890,0,0,0,0,15.6,4.5,14.0,1.0,2
40990,1,1,1,0,14.0,4.3,389.0,44.0,1
109990,5,1,3,0,13.3,4.6,1149.0,126.0,2
72990,11,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
38699,1,1,1,0,15.6,4.3,4658.0,449.0,1
64590,11,1,4,0,17.3,4.5,533.0,93.0,2
115300,13,0,4,1,15.6,4.4,497.0,69.0,2
46040,1,1,4,1,14.0,4.1,68.0,6.0,2
52990,0,1,1,0,15.6,4.2,280.0,21.0,2
55990,33,1,0,0,15.6,4.6,10.0,1.0,2
24999,6,1,1,2,14.0,3.7,65.0,7.0,0
76990,13,1,1,3,17.3,4.5,17.0,4.0,2
56049,9,1,1,0,15.6,4.2,247.0,21.0,2
71590,13,0,1,0,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
59999,11,1,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
323990,34,16,1,3,17.3,4.284883720930233,718.0915697674419,83.89825581395348,2
47039,11,1,1,0,15.6,4.3,1603.0,184.0,2
40390,7,1,1,0,14.0,4.3,2025.0,257.0,1
20990,32,5,1,7,14.0,4.2,884.0,151.0,0
61990,11,1,1,0,15.6,4.5,99.0,13.0,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
68400,9,0,1,0,15.6,4.0,5.0,1.0,2
88990,9,12,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
159990,13,4,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
39490,8,1,1,0,15.6,4.0,29.0,2.0,1
150990,18,14,3,0,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
241990,25,14,3,3,16.2,4.8,119.0,14.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
56749,12,12,0,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
247990,13,3,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
181990,19,3,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
114990,15,11,0,3,13.3,3.8,6.0,1.0,2
146990,23,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
149990,15,0,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
51532,9,3,0,0,15.6,4.0,32.0,14.0,2
52490,11,1,1,0,15.6,4.1,23.0,4.0,2
244990,15,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
131990,18,14,3,2,13.6,4.284883720930233,718.0915697674419,83.89825581395348,2
77990,9,4,0,0,15.6,4.5,97.0,10.0,2
139990,10,0,8,3,16.0,4.3,8.0,0.0,2
59990,0,1,4,0,15.6,4.4,263.0,22.0,2
84990,11,12,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
70900,0,11,1,0,14.0,4.7,3.0,0.0,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
35699,1,1,1,2,15.6,4.0,5.0,0.0,1
84990,15,0,1,0,14.0,3.9,45.0,9.0,2
128000,15,4,1,3,16.1,4.284883720930233,718.0915697674419,83.89825581395348,2
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
43500,1,1,1,0,15.6,3.9,93.0,10.0,1
58226,0,0,8,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
103490,10,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
60990,0,6,1,0,13.3,4.4,72.0,9.0,2
150450,15,3,1,0,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
39990,1,1,1,0,15.6,4.1,48.0,2.0,1
139999,34,0,1,3,15.6,5.0,7.0,1.0,2
156490,15,4,1,3,15.6,5.0,4.0,0.0,2
78990,13,1,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
16490,6,2,1,7,14.1,3.8,689.0,92.0,0
171990,13,4,1,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
250000,28,0,4,3,15.6,4.0,5.0,2.0,2
151990,19,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
57990,0,1,1,0,15.6,3.7,10.0,0.0,2
71990,11,1,4,0,14.96,4.284883720930233,718.0915697674419,83.89825581395348,2
80990,13,0,1,0,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
46990,35,0,1,0,14.0,4.2,1232.0,119.0,2
73990,9,1,1,0,14.0,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
88990,11,4,1,0,15.6,3.6,11.0,0.0,2
145499,15,11,1,0,16.0,3.7,3.0,0.0,2
33990,1,6,1,0,15.6,4.2,197.0,43.0,1
37500,1,1,1,1,15.6,4.4,53.0,3.0,1
275990,15,9,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
39990,1,1,4,0,15.6,4.4,44.0,1.0,1
58800,36,17,4,2,13.3,4.3,6.0,3.0,2
36890,7,1,1,2,14.0,4.284883720930233,718.0915697674419,83.89825581395348,1
101490,10,0,4,3,15.6,4.5,499.0,63.0,2
219894,25,14,3,3,14.2,4.8,119.0,14.0,2
69990,11,1,1,0,15.6,4.7,3.0,0.0,2
41990,1,1,8,6,15.6,3.6,25.0,4.0,1
57990,13,1,4,0,14.0,4.3,74.0,7.0,2
162990,13,4,1,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
89990,15,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
72790,11,1,4,0,15.6,4.6,213.0,36.0,2
60130,0,1,4,1,15.6,4.1,85.0,5.0,2
74990,37,0,4,0,15.6,4.6,893.0,173.0,2
157990,13,4,1,3,15.6,4.0,4.0,0.0,2
284990,13,8,1,3,13.4,4.284883720930233,718.0915697674419,83.89825581395348,2
59490,10,0,0,0,15.6,4.6,5.0,0.0,2
58490,0,1,0,0,15.6,4.0,3.0,2.0,2
254990,23,4,0,3,15.6,4.284883720930233,718.0915697674419,83.89825581395348,2
62990,0,0,0,0,15.6,4.5,14.0,1.0,2
218290,13,4,0,3,16.0,4.284883720930233,718.0915697674419,83.89825581395348,2
